============================================================== BACKTESTING REPORT ==============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|     BCH/USDT |        11 |          -1.05 |         -11.57 |          -115.746 |          -1.16 |         17:44:00 |     5     0     6  45.5 |
|   THETA/USDT |         6 |          -2.04 |         -12.25 |          -122.474 |          -1.22 |   1 day, 2:31:00 |     2     0     4  33.3 |
|     SFP/USDT |        15 |          -0.82 |         -12.31 |          -123.041 |          -1.23 |          3:38:00 |     8     0     7  53.3 |
|    IOTA/USDT |         7 |          -2.31 |         -16.20 |          -162.029 |          -1.62 |          7:41:00 |     2     0     5  28.6 |
|     FIL/USDT |         7 |          -2.34 |         -16.36 |          -163.526 |          -1.64 |         23:49:00 |     2     0     5  28.6 |
|    KLAY/USDT |         6 |          -3.05 |         -18.28 |          -182.768 |          -1.83 |          7:08:00 |     1     0     5  16.7 |
|   SUSHI/USDT |        24 |          -0.78 |         -18.69 |          -186.869 |          -1.87 |          4:12:00 |    13     0    11  54.2 |
|     SOL/USDT |        27 |          -0.70 |         -18.93 |          -187.562 |          -1.88 |          5:54:00 |    15     0    12  55.6 |
|     CRV/USDT |        12 |          -1.57 |         -18.80 |          -188.017 |          -1.88 |          9:06:00 |     5     0     7  41.7 |
|     ETH/USDT |        32 |          -0.64 |         -20.54 |          -205.259 |          -2.05 |         12:09:00 |    18     0    14  56.2 |
|     LTC/USDT |        19 |          -1.18 |         -22.47 |          -224.618 |          -2.25 |          7:25:00 |     9     0    10  47.4 |
|     XRP/USDT |        24 |          -1.02 |         -24.48 |          -244.869 |          -2.45 |         14:12:00 |    12     0    12  50.0 |
|        TOTAL |      1265 |           0.00 |           3.26 |            33.395 |           0.33 |         10:44:00 |   845     0   420  66.8 |
=========================================================== ENTER TAG STATS ===========================================================
|   TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| TOTAL |      1265 |           0.00 |           3.26 |            33.395 |           0.33 |       10:44:00 |   845     0   420  66.8 |
===================================================== EXIT REASON STATS =====================================================
|   Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|           roi |     843 |    843     0     0   100 |           2    |        1684.2  |         16827.8   |         168.42 |
|     stop_loss |     414 |      0     0   414     0 |          -4.05 |       -1677.95 |        -16764.4   |        -167.79 |
|    force_exit |       8 |      2     0     6  25.0 |          -0.37 |          -2.99 |           -29.998 |          -0.3  |
========================================================= LEFT OPEN TRADES REPORT ==========================================================
|       Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|------------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| 1INCH/USDT |         1 |           0.74 |           0.74 |             7.426 |           0.07 |       23:20:00 |     1     0     0   100 |
|   BTC/USDT |         1 |           0.60 |           0.60 |             5.909 |           0.06 |       21:35:00 |     1     0     0   100 |
|  REEF/USDT |         1 |          -0.14 |          -0.14 |            -1.375 |          -0.01 |        1:00:00 |     0     0     1     0 |
|   GMT/USDT |         1 |          -0.37 |          -0.37 |            -3.714 |          -0.04 |        0:40:00 |     0     0     1     0 |
| WAVES/USDT |         1 |          -0.42 |          -0.42 |            -4.172 |          -0.04 |        0:35:00 |     0     0     1     0 |
