,date,ticker,open,high,low,close
118,2024-06-19T09:50:00.000Z,xauusd,2328.73,2329.35,2328.42,2328.85
119,2024-06-19T09:55:00.000Z,xauusd,2328.87,2329.05,2328.16,2328.2
120,2024-06-19T10:00:00.000Z,xauusd,2328.19,2328.32,2327.49,2328.27
121,2024-06-19T10:05:00.000Z,xauusd,2328.25,2328.54,2327.84,2328.39
122,2024-06-19T10:10:00.000Z,xauusd,2328.5,2329.77,2328.38,2329.2
123,2024-06-19T10:15:00.000Z,xauusd,2329.21,2329.95,2329.02,2329.71
124,2024-06-19T10:20:00.000Z,xauusd,2329.01,2329.43,2328.66,2329.06
125,2024-06-19T10:25:00.000Z,xauusd,2329.04,2329.76,2328.66,2328.67
126,2024-06-19T10:30:00.000Z,xauusd,2328.66,2329.48,2328.47,2328.65
127,2024-06-19T10:35:00.000Z,xauusd,2328.6,2329.77,2328.53,2329.11
128,2024-06-19T10:40:00.000Z,xauusd,2329.25,2329.52,2328.62,2328.62
129,2024-06-19T10:45:00.000Z,xauusd,2328.62,2328.99,2328.28,2328.28
130,2024-06-19T10:50:00.000Z,xauusd,2328.25,2328.59,2327.57,2328.13
131,2024-06-19T10:55:00.000Z,xauusd,2328.17,2328.25,2327.68,2328.07
132,2024-06-19T11:00:00.000Z,xauusd,2328.02,2328.04,2326.9,2326.9
133,2024-06-19T11:05:00.000Z,xauusd,2326.89,2327.13,2325.89,2326.4
134,2024-06-19T11:10:00.000Z,xauusd,2326.37,2326.95,2326.04,2326.55
135,2024-06-19T11:15:00.000Z,xauusd,2326.56,2327.51,2326.56,2327.43
136,2024-06-19T11:20:00.000Z,xauusd,2327.45,2327.9,2327.33,2327.85
137,2024-06-19T11:25:00.000Z,xauusd,2327.84,2328.67,2327.83,2328.67
138,2024-06-19T11:30:00.000Z,xauusd,2328.79,2329.42,2328.79,2329.38
139,2024-06-19T11:35:00.000Z,xauusd,2329.44,2330.03,2329.06,2330.03
140,2024-06-19T11:40:00.000Z,xauusd,2330.04,2330.34,2329.02,2329.12
141,2024-06-19T11:45:00.000Z,xauusd,2329.12,2331.0,2329.1,2330.79
142,2024-06-19T11:50:00.000Z,xauusd,2330.8,2331.14,2330.45,2330.95
143,2024-06-19T11:55:00.000Z,xauusd,2330.87,2330.87,2330.33,2330.53
144,2024-06-19T12:00:00.000Z,xauusd,2330.5,2332.97,2330.5,2332.6
145,2024-06-19T12:05:00.000Z,xauusd,2332.61,2332.62,2331.19,2331.19
146,2024-06-19T12:10:00.000Z,xauusd,2331.18,2331.35,2329.5,2329.85
147,2024-06-19T12:15:00.000Z,xauusd,2329.84,2330.56,2329.61,2330.39
148,2024-06-19T12:20:00.000Z,xauusd,2330.48,2330.82,2329.33,2329.37
149,2024-06-19T12:25:00.000Z,xauusd,2329.37,2329.38,2326.7,2327.18
150,2024-06-19T12:30:00.000Z,xauusd,2327.24,2327.38,2326.18,2326.7
151,2024-06-19T12:35:00.000Z,xauusd,2326.68,2327.42,2325.43,2325.43
152,2024-06-19T12:40:00.000Z,xauusd,2325.36,2327.79,2325.36,2327.2
153,2024-06-19T12:45:00.000Z,xauusd,2327.2,2328.68,2327.17,2328.48
154,2024-06-19T12:50:00.000Z,xauusd,2328.5,2329.76,2328.49,2329.23
155,2024-06-19T12:55:00.000Z,xauusd,2329.19,2329.92,2327.74,2328.39
156,2024-06-19T13:00:00.000Z,xauusd,2328.41,2328.47,2326.89,2328.4
157,2024-06-19T13:05:00.000Z,xauusd,2328.39,2329.17,2327.72,2328.29
158,2024-06-19T13:10:00.000Z,xauusd,2328.23,2329.29,2327.82,2329.25
159,2024-06-19T13:15:00.000Z,xauusd,2329.25,2329.27,2328.21,2329.08
